344.75,222.00,56.00,47.00
341.30,222.00,56.00,47.00
338.55,222.00,56.00,47.00
336.37,222.50,55.00,46.00
333.69,222.50,55.00,46.00
331.01,222.50,55.00,46.00
328.20,223.00,54.00,45.00
328.20,223.00,54.00,45.00
324.44,222.00,56.00,47.00
322.79,223.00,54.00,45.00
323.29,223.50,53.00,44.00
323.29,223.50,53.00,44.00
320.72,223.50,53.00,44.00
321.22,224.00,52.00,43.00
321.22,224.00,52.00,43.00
321.22,220.82,52.00,43.00
318.15,220.32,53.00,44.00
318.65,220.82,52.00,43.00
319.15,220.82,51.00,43.00
318.15,222.89,53.00,44.00
315.00,222.39,54.00,45.00
315.50,220.32,53.00,44.00
316.00,220.82,52.00,43.00
316.00,220.82,52.00,43.00
316.00,220.82,52.00,43.00
315.50,220.32,53.00,44.00
316.00,218.28,52.00,43.00
317.00,218.78,50.00,42.00
317.50,219.28,49.00,41.00
317.50,219.28,49.00,41.00
320.35,222.12,48.00,40.00
319.85,221.62,49.00,41.00
319.35,221.12,50.00,42.00
319.35,221.12,50.00,42.00
319.35,221.12,50.00,42.00
319.35,221.12,50.00,42.00
319.35,221.12,50.00,42.00
319.35,221.12,50.00,42.00
319.35,221.12,50.00,42.00
319.35,221.12,50.00,42.00
316.37,220.62,51.00,43.00
317.37,219.25,49.00,41.00
317.87,219.75,48.00,40.00
318.37,220.25,47.00,39.00
318.87,220.25,46.00,39.00
318.87,220.25,46.00,39.00
318.87,220.25,46.00,39.00
318.87,220.25,46.00,39.00
318.87,220.25,46.00,39.00
318.87,220.25,46.00,39.00
318.87,220.25,46.00,39.00
319.37,220.75,45.00,38.00
319.37,220.75,45.00,38.00
319.37,222.97,45.00,38.00
319.37,220.75,45.00,38.00
319.37,220.75,45.00,38.00
319.37,220.75,45.00,38.00
317.14,218.52,45.00,38.00
317.64,219.02,44.00,37.00
318.14,219.52,43.00,36.00
318.14,219.52,43.00,36.00
318.14,219.52,43.00,36.00
318.64,219.52,42.00,36.00
318.64,221.58,42.00,36.00
318.64,221.58,42.00,36.00
318.64,221.58,42.00,36.00
318.64,219.52,42.00,36.00
318.64,222.06,42.00,35.00
318.64,222.06,42.00,35.00
319.14,222.56,41.00,34.00
319.64,224.51,40.00,34.00
319.64,224.51,40.00,34.00
319.14,224.51,41.00,34.00
319.14,222.50,41.00,34.00
319.14,222.50,41.00,34.00
319.14,219.98,41.00,34.00
319.14,219.98,41.00,34.00
319.14,219.98,41.00,34.00
319.14,222.50,41.00,34.00
316.60,222.00,42.00,35.00
317.60,222.50,40.00,34.00
